"UTC","species","call","DriftName"
2021-06-13 09:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-13 10:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-13 10:00:00,"Mn","Song","ADRIFT_002"
2021-06-13 10:00:00,"ZC",NA,"ADRIFT_002"
2021-06-13 11:00:00,"ZC",NA,"ADRIFT_002"
2021-06-13 11:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-13 11:00:00,"UO","Whistles","ADRIFT_002"
2021-06-13 13:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-13 14:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-13 17:00:00,"ZC",NA,"ADRIFT_002"
2021-06-13 18:00:00,"ZC",NA,"ADRIFT_002"
2021-06-13 19:00:00,"BB",NA,"ADRIFT_002"
2021-06-13 20:00:00,"BB",NA,"ADRIFT_002"
2021-06-13 21:00:00,"BB",NA,"ADRIFT_002"
2021-06-13 23:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-14 04:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-14 05:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-14 06:00:00,"ZC",NA,"ADRIFT_002"
2021-06-14 06:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-15 03:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-15 04:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-15 04:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-15 05:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-15 07:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-15 20:00:00,"NBHF",NA,"ADRIFT_002"
2021-06-15 20:00:00,"Pm","Clicks","ADRIFT_002"
2021-06-15 21:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-15 22:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-16 15:00:00,"NBHF",NA,"ADRIFT_002"
2021-07-25 18:00:00,"Lo","Clicks/A","ADRIFT_003"
2021-07-25 18:00:00,"Mn","unidentified","ADRIFT_003"
2021-07-25 18:00:00,"Mn","Song","ADRIFT_003"
2021-07-25 19:00:00,"Mn","Song","ADRIFT_003"
2021-07-25 19:00:00,"Mn","Social","ADRIFT_003"
2021-07-25 19:00:00,"Mn","unidentified","ADRIFT_003"
2021-07-25 20:00:00,"Mn","unidentified","ADRIFT_003"
2021-07-25 20:00:00,"Er","unidentified","ADRIFT_003"
